n_features,n_samples,difference,greedy_gain,best_gain,all_features
7,50000,0.0003000000000000086,0.0871,0.0874,SPOCK2|DDIT4|XRCC6|C16orf54|IK|RHOH|TRAT1
7,50000,0.0010000000000000009,0.0881,0.0891,PTGER2|XRCC6|TRAT1|TUBA4A|PIK3IP1|FYN|ITM2A
7,50000,0.0005000000000000004,0.0769,0.0774,CHST12|CDC42SE1|PIK3IP1|LINC00861|LBH|SEPT1|APOBEC3G
7,50000,0.000800000000000009,0.0652,0.066,CLK1|RHOH|RP11-347P5.1|EIF5A|LYAR|JUN|TRAT1
7,50000,0.00019999999999999185,0.0747,0.0749,RPS4Y1|LINC00861|IFITM1|SKAP1|CD247|C16orf54|C1orf56
7,50000,0.00010000000000000286,0.0921,0.0922,C16orf54|CD69|C1orf56|PIK3IP1|HNRNPH1|RORA|KLRB1
7,50000,0.0003000000000000086,0.0986,0.0989,SPOCK2|SELL|C16orf54|CLK1|PTGER2|PDCD4|SKAP1
7,50000,0.000899999999999998,0.0684,0.0693,HNRNPH1|SYNE2|LYAR|LINC00861|DDIT4|FYN|PDCD4
7,50000,0.00030000000000000165,0.0525,0.0528,PLAC8|LINC00861|RHOH|CD247|CHST12|IFITM1|CDC42SE1
7,50000,0.00019999999999999185,0.0821,0.0823,BUB3|PLAC8|FYN|RHOH|CD27|DDIT4|LYAR
7,50000,0.0010000000000000009,0.0751,0.0761,IK|CHST12|RHOH|PDCD4|TRBC1|ZC3HAV1|LYAR
7,50000,0.0010000000000000009,0.0655,0.0665,CCNDBP1|PTGER2|LBH|CLK1|PLAC8|RHOH|C1orf56
7,50000,0.0015000000000000013,0.1016,0.1031,IFITM1|BUB3|RPS4Y1|XRCC6|RHOH|CD247|CD27
7,50000,0.0002999999999999947,0.0614,0.0617,GCC2|CLK1|SIT1|DDIT4|SEPT1|FYN|SPOCK2
7,50000,0.0003000000000000086,0.0754,0.0757,EIF5A|GZMK|SIT1|PLAC8|IL16|SKAP1|C16orf54
