n_features,k,n_samples,sample_id,difference
7,6,1000,140,0.01
7,6,1000,938,0.01
7,6,10000,420,0.01
7,6,10000,1230,0.02
7,6,10000,2112,0.01
7,6,10000,2942,0.0999999999999999
7,6,10000,3097,0.01
7,6,10000,3335,0.0199999999999999
7,6,10000,3446,0.01
7,6,10000,5476,0.01
7,6,10000,6118,0.01
7,6,10000,9748,0.0099999999999999
7,6,100000,478,0.01
7,6,100000,3561,0.01
7,6,100000,3587,0.0899999999999999
7,6,100000,6717,0.01
7,6,100000,7378,0.01
7,6,100000,7636,0.0099999999999999
7,6,100000,7901,0.02
7,6,100000,8712,0.0099999999999999
7,6,100000,12247,0.01
7,6,100000,12278,0.01
7,6,100000,12297,0.0099999999999999
7,6,100000,12629,0.01
7,6,100000,12994,0.01
7,6,100000,14570,0.01
7,6,100000,15300,0.0099999999999999
7,6,100000,15686,0.01
7,6,100000,15791,0.01
7,6,100000,16130,0.01
7,6,100000,16349,0.01
7,6,100000,16789,0.01
7,6,100000,17228,0.01
7,6,100000,17482,0.0099999999999999
7,6,100000,18454,0.01
7,6,100000,18714,0.03
7,6,100000,20453,0.0099999999999999
7,6,100000,20704,0.01
7,6,100000,20866,0.0199999999999999
7,6,100000,21982,0.07
7,6,100000,23612,0.02
7,6,100000,27270,0.01
7,6,100000,27604,0.0099999999999999
7,6,100000,28199,0.01
7,6,100000,28206,0.01
7,6,100000,28491,0.01
7,6,100000,29104,0.01
7,6,100000,30105,0.01
7,6,100000,33032,0.01
7,6,100000,33061,0.0099999999999999
7,6,100000,33675,0.01
7,6,100000,33791,0.01
7,6,100000,34444,0.0199999999999999
7,6,100000,34821,0.01
7,6,100000,35462,0.0099999999999999
7,6,100000,35986,0.01
7,6,100000,36875,0.01
7,6,100000,37376,0.01
7,6,100000,37413,0.0099999999999999
7,6,100000,38670,0.01
7,6,100000,39067,0.01
7,6,100000,39677,0.01
7,6,100000,40325,0.0399999999999999
7,6,100000,41045,0.0499999999999999
7,6,100000,41462,0.01
7,6,100000,41484,0.01
7,6,100000,42257,0.01
7,6,100000,42634,0.01
7,6,100000,43725,0.0099999999999999
7,6,100000,44083,0.01
7,6,100000,44456,0.01
7,6,100000,44705,0.01
7,6,100000,47763,0.01
7,6,100000,47828,0.01
7,6,100000,48792,0.0099999999999999
7,6,100000,49179,0.0099999999999999
7,6,100000,49440,0.0399999999999999
7,6,100000,50406,0.01
7,6,100000,52026,0.01
7,6,100000,52850,0.01
7,6,100000,54795,0.01
7,6,100000,54878,0.01
7,6,100000,55755,0.01
7,6,100000,57992,0.01
7,6,100000,61448,0.01
7,6,100000,61690,0.01
7,6,100000,62806,0.01
7,6,100000,64733,0.01
7,6,100000,64861,0.01
7,6,100000,65079,0.01
7,6,100000,66272,0.0099999999999999
7,6,100000,66539,0.0099999999999999
7,6,100000,66782,0.01
7,6,100000,66975,0.01
7,6,100000,67221,0.03
7,6,100000,68348,0.01
7,6,100000,70122,0.01
7,6,100000,70338,0.01
7,6,100000,71019,0.01
7,6,100000,71710,0.01
7,6,100000,71917,0.0099999999999999
7,6,100000,72383,0.01
7,6,100000,72886,0.01
7,6,100000,73179,0.0099999999999999
7,6,100000,73774,0.01
7,6,100000,74517,0.01
7,6,100000,74533,0.01
7,6,100000,75026,0.01
7,6,100000,75842,0.01
7,6,100000,76522,0.01
7,6,100000,77094,0.06
7,6,100000,77300,0.0099999999999999
7,6,100000,77678,0.01
