n_features,k,n_samples,ffsi_count,ffsi_rate,avg_difference,std_difference,min_difference,max_difference
7,6,1000,2,0.002,0.01,0.0,0.01,0.01
7,6,10000,10,0.001,0.021,0.0280673792466945,0.0099999999999999,0.0999999999999999
7,6,100000,134,0.00134,0.0132089552238806,0.0113456126639236,0.0099999999999999,0.0899999999999999
8,7,1000,3,0.003,0.01,1.604033052988567e-17,0.0099999999999999,0.01
8,7,10000,7,0.0007,0.01,1.356711988893587e-17,0.0099999999999999,0.01
8,7,100000,70,0.0007,0.0107142857142857,0.0025939889105215,0.0099999999999999,0.02
9,8,1000,0,0.0,0.0,0.0,0.0,0.0
9,8,10000,4,0.0004,0.0099999999999999,2.6573940485783934e-17,0.0099999999999999,0.01
9,8,100000,24,0.00024,0.01,1.6873135080095713e-17,0.0099999999999999,0.01
10,9,1000,0,0.0,0.0,0.0,0.0,0.0
10,9,10000,3,0.0003,0.0099999999999999,3.2057201706681706e-17,0.0099999999999999,0.01
10,9,100000,19,0.00019,0.01,1.6164917493101814e-17,0.0099999999999999,0.01
7,6,500000,584,0.001168,0.0123972602739726,0.008652212520698,0.0099999999999999,0.1
8,7,500000,307,0.000614,0.0116938110749185,0.0059186252602041,0.0099999999999999,0.05
9,8,500000,146,0.000292,0.0112328767123287,0.00523784780215,0.0099999999999999,0.05
10,9,500000,71,0.000142,0.0119718309859154,0.0121443365177658,0.0099999999999999,0.11
7,6,50000,61,0.00122,0.01163934426229508,0.00662830492882669,0.009999999999999953,0.04999999999999999
8,7,50000,27,0.00054,0.010740740740740742,0.0038490017945975053,0.009999999999999953,0.03
9,8,50000,18,0.00036,0.009999999999999993,2.3748089711908727e-17,0.009999999999999953,0.010000000000000009
10,9,50000,7,0.00014,0.011428571428571423,0.0037796447300922705,0.009999999999999953,0.01999999999999999
