trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=6,n_samples=1000,0.067,H(Y)=0.4252,features=1881,trials=100,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677,FULL_DATA_SINGLES_FEATURES
6,0.063,0.0692,0.067,-0.006199999999999997,True,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-2|hsa-mir-378c|hsa-mir-142|hsa-mir-5683,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-335|hsa-mir-3677|hsa-mir-10a|hsa-mir-328
4,0.0592,0.0695,0.067,-0.010300000000000004,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-190b|hsa-mir-301b|hsa-mir-196a-1|hsa-mir-486-1,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-335
3,0.0638,0.0675,0.067,-0.003700000000000009,True,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-1|hsa-mir-378c|hsa-mir-142|hsa-mir-96,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-142|hsa-mir-182|hsa-mir-328|hsa-mir-378c
5,0.0594,0.067,0.067,-0.007600000000000003,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-1|hsa-mir-378c,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677
1,0.059,0.0713,0.067,-0.012300000000000005,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-190b|hsa-mir-301b|hsa-mir-196a-1|hsa-mir-486-2,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-1|hsa-mir-3677|hsa-mir-378a
2,0.0635,0.0673,0.067,-0.003799999999999998,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-142|hsa-mir-144,hsa-mir-139|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-592|hsa-mir-144
7,0.0607,0.07,0.067,-0.00930000000000001,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-1301|hsa-mir-6892|hsa-mir-196a-1|hsa-mir-28,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-155|hsa-mir-130a
9,0.0593,0.0724,0.067,-0.013100000000000007,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-1|hsa-mir-592|hsa-mir-145|hsa-mir-342,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-1|hsa-mir-10a|hsa-mir-182
8,0.0622,0.0665,0.067,-0.004300000000000005,True,True,hsa-mir-10b|hsa-mir-378a|hsa-mir-155|hsa-mir-196a-1|hsa-mir-328|hsa-mir-378c,hsa-mir-183|hsa-mir-378a|hsa-mir-155|hsa-mir-145|hsa-mir-196a-1|hsa-mir-592
11,0.065,0.0726,0.067,-0.007599999999999996,True,True,hsa-mir-21|hsa-mir-96|hsa-mir-3677|hsa-mir-378a|hsa-mir-486-2|hsa-mir-98,hsa-mir-139|hsa-mir-21|hsa-mir-342|hsa-mir-96|hsa-mir-486-2|hsa-mir-145
