trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=8,n_samples=1000,0.0321,H(Y)=0.4252,features=1881,trials=100,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677|hsa-mir-6883|hsa-mir-335,FULL_DATA_SINGLES_FEATURES
8,0.026,0.0375,0.0321,-0.0115,True,True,hsa-mir-10b|hsa-mir-378a|hsa-mir-155|hsa-mir-196a-1|hsa-mir-328|hsa-mir-378c|hsa-mir-329-1|hsa-mir-421,hsa-mir-183|hsa-mir-378a|hsa-mir-155|hsa-mir-145|hsa-mir-196a-1|hsa-mir-592|hsa-mir-184|hsa-mir-378c
6,0.03,0.03,0.0321,0.0,False,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-2|hsa-mir-378c|hsa-mir-142|hsa-mir-5683|hsa-mir-1251|hsa-mir-4661,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-335|hsa-mir-3677|hsa-mir-10a|hsa-mir-328|hsa-mir-4661|hsa-mir-23a
3,0.0284,0.0373,0.0321,-0.008899999999999998,True,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-1|hsa-mir-378c|hsa-mir-142|hsa-mir-96|hsa-mir-128-2|hsa-mir-372,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-142|hsa-mir-182|hsa-mir-328|hsa-mir-378c|hsa-mir-128-2|hsa-mir-23b
4,0.03,0.0394,0.0321,-0.009399999999999999,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-190b|hsa-mir-301b|hsa-mir-196a-1|hsa-mir-486-1|hsa-mir-193a|hsa-mir-652,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-335|hsa-mir-4677|hsa-mir-25
7,0.0335,0.0395,0.0321,-0.005999999999999998,True,False,hsa-mir-182|hsa-mir-21|hsa-mir-1301|hsa-mir-6892|hsa-mir-196a-1|hsa-mir-28|hsa-mir-211|hsa-mir-3065,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-155|hsa-mir-130a|hsa-mir-4678|hsa-mir-143
1,0.0303,0.0407,0.0321,-0.0104,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-190b|hsa-mir-301b|hsa-mir-196a-1|hsa-mir-486-2|hsa-mir-128-2|hsa-mir-200c,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-1|hsa-mir-3677|hsa-mir-378a|hsa-mir-6883|hsa-mir-3065
5,0.0296,0.0349,0.0321,-0.005299999999999999,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-1|hsa-mir-378c|hsa-mir-142|hsa-mir-7702,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677|hsa-mir-6883|hsa-mir-3065
2,0.0345,0.0422,0.0321,-0.0076999999999999985,True,False,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-142|hsa-mir-144|hsa-mir-504|hsa-mir-6806,hsa-mir-139|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-592|hsa-mir-144|hsa-mir-548q|hsa-mir-6762
9,0.0288,0.0449,0.0321,-0.016100000000000003,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-1|hsa-mir-592|hsa-mir-145|hsa-mir-342|hsa-mir-3065|hsa-mir-548aw,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-1|hsa-mir-10a|hsa-mir-182|hsa-mir-592|hsa-mir-342
10,0.0389,0.0397,0.0321,-0.0008000000000000021,True,False,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-142|hsa-mir-335|hsa-mir-10a|hsa-mir-182|hsa-mir-1180|hsa-mir-770,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-335|hsa-mir-142|hsa-mir-182|hsa-mir-10a|hsa-mir-326|hsa-mir-504
