trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=6,n_samples=1000,0.0158,H(Y)=0.4442,features=19962,trials=100,KRTAP13-4|CILP2|MSRB3|DARS2|LAMP5|MFN2,FULL_DATA_SINGLES_FEATURES
4,0.0301,0.0404,0.0158,-0.0103,True,False,IRAG1|CCN4|SEMA3F|FGF10|CILP2|HOXD8,HIF3A|CCN4|IRAG1|CHTF18|CDCA8|MARVELD2
2,0.0567,0.0562,0.0158,0.0005000000000000004,False,False,SRMS|CCNDBP1|ACSS2|VANGL1|C9orf24|CORO7,GRAMD1A|CCNDBP1|VANGL1|ACSS2|PROC|SPCS1
1,0.034,0.0349,0.0158,-0.000899999999999998,True,False,TCEAL7|PLPP4|F2RL2|PARVA|CAPS|KRAS,CTNNAL1|PSMC2|PLPP4|TCEAL7|SNAPC2|PMP2
5,0.0378,0.0449,0.0158,-0.007100000000000002,True,False,ECM2|SLC24A2|MAOB|OIP5|CCNP|TNR,KRTAP13-4|PLAC1|PPP1R1B|RTN4RL2|TTC34|HTR1D
6,0.0385,0.0424,0.0158,-0.0039000000000000007,True,False,CST2|TCEAL7|VCAN|TSEN54|ZNF467|PNMA6A,PALMD|CST2|MCM10|ZNF467|MLXIPL|CNKSR2
7,0.0485,0.0568,0.0158,-0.008300000000000002,True,False,THSD1|ADAMTSL2|BAK1|RAB26|PLEKHG6|C11orf24,BAK1|CLCN4|GJB2|DONSON|HOXC10|NAT8L
3,0.0446,0.0546,0.0158,-0.010000000000000002,True,False,TNFRSF9|GYPC|KAT2B|SRMS|INTS7|C22orf39,SLC17A7|N4BP3|TNFRSF9|ACSL5|INTS7|C22orf39
8,0.0434,0.0458,0.0158,-0.0023999999999999994,True,False,IRAG1|SLC24A2|MGRN1|PIMREG|TCF7L1|FRMD3,MEOX1|GTF3C1|RNLS|SLC24A2|FRMD3|KDELR2
9,0.0393,0.0284,0.0158,0.0109,False,False,LRP1|KIF26B|WDR62|CST2|ARHGAP10|SPESP1,KRTAP13-4|CST2|HOXA6|GARS1|SHKBP1|NECTIN3
10,0.0461,0.0542,0.0158,-0.008099999999999996,True,False,DCN|C1QTNF6|MCM10|MRAS|MISP3|LCN8,LRRC3B|C1QTNF6|PRKD1|RADIL|MAD2L2|SEC24D
