trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=8,n_samples=1000,-0.0,H(Y)=0.4442,features=19962,trials=100,KRTAP13-4|CILP2|MSRB3|DARS2|LAMP5|MFN2|CSN2|CD9,FULL_DATA_SINGLES_FEATURES
4,0.01,0.0123,-0.0,-0.0023,True,False,IRAG1|CCN4|SEMA3F|FGF10|CILP2|HOXD8|METTL22|MARVELD2,HIF3A|CCN4|IRAG1|CHTF18|CDCA8|MARVELD2|PARM1|CT83
8,0.012,0.018,-0.0,-0.005999999999999998,True,False,IRAG1|SLC24A2|MGRN1|PIMREG|TCF7L1|FRMD3|EIF2B3|LARP1B,MEOX1|GTF3C1|RNLS|SLC24A2|FRMD3|KDELR2|RAC2|TRPM1
1,0.0076,0.0095,-0.0,-0.0018999999999999998,True,False,TCEAL7|PLPP4|F2RL2|PARVA|CAPS|KRAS|SP3|CYP27C1,CTNNAL1|PSMC2|PLPP4|TCEAL7|SNAPC2|PMP2|IL21R|GLIPR2
5,0.0108,0.0117,-0.0,-0.0008999999999999998,True,False,ECM2|SLC24A2|MAOB|OIP5|CCNP|TNR|VSTM2L|AMY1A,KRTAP13-4|PLAC1|PPP1R1B|RTN4RL2|TTC34|HTR1D|LPAR1|HUNK
6,0.0113,0.0168,-0.0,-0.0055,True,False,CST2|TCEAL7|VCAN|TSEN54|ZNF467|PNMA6A|IL4I1|TMEM140,PALMD|CST2|MCM10|ZNF467|MLXIPL|CNKSR2|MMP3|RNF167
3,0.0184,0.0267,-0.0,-0.008300000000000002,True,False,TNFRSF9|GYPC|KAT2B|SRMS|INTS7|C22orf39|ARL3|MYO1C,SLC17A7|N4BP3|TNFRSF9|ACSL5|INTS7|C22orf39|AMY1B|PMP2
7,0.0209,0.0249,-0.0,-0.004,True,False,THSD1|ADAMTSL2|BAK1|RAB26|PLEKHG6|C11orf24|SUSD3|MGAT4C,BAK1|CLCN4|GJB2|DONSON|HOXC10|NAT8L|VSTM2L|NT5C3A
2,0.0253,0.0284,-0.0,-0.003100000000000002,True,False,SRMS|CCNDBP1|ACSS2|VANGL1|C9orf24|CORO7|SPCS1|CA7,GRAMD1A|CCNDBP1|VANGL1|ACSS2|PROC|SPCS1|ESCO2|GSTA5
9,0.012,0.0064,-0.0,0.0056,False,False,LRP1|KIF26B|WDR62|CST2|ARHGAP10|SPESP1|SAMD11|SMIM15,KRTAP13-4|CST2|HOXA6|GARS1|SHKBP1|NECTIN3|SPRR2F|DDX3Y
10,0.0147,0.0257,-0.0,-0.011000000000000001,True,False,DCN|C1QTNF6|MCM10|MRAS|MISP3|LCN8|P2RY6|VSTM5,LRRC3B|C1QTNF6|PRKD1|RADIL|MAD2L2|SEC24D|OSBPL6|CTIF
