n_features,k,n_samples,sample_id,difference
7,6,10000,6,0.03999999999999998
7,6,10000,9,0.05999999999999997
7,6,10000,23,0.010000000000000009
7,6,10000,24,0.09
7,6,10000,26,0.030000000000000027
7,6,10000,29,0.02999999999999997
7,6,10000,32,0.01999999999999999
7,6,10000,33,0.05000000000000002
7,6,10000,38,0.01999999999999999
7,6,10000,39,0.010000000000000009
7,6,10000,40,0.010000000000000009
7,6,10000,41,0.010000000000000009
7,6,10000,43,0.010000000000000009
7,6,10000,45,0.01999999999999999
7,6,10000,46,0.01999999999999999
7,6,10000,49,0.009999999999999953
7,6,10000,56,0.010000000000000009
7,6,10000,57,0.010000000000000009
7,6,10000,60,0.020000000000000018
7,6,10000,61,0.009999999999999981
7,6,10000,62,0.02999999999999997
7,6,10000,63,0.010000000000000009
7,6,10000,64,0.010000000000000009
7,6,10000,66,0.04999999999999999
7,6,10000,74,0.030000000000000027
7,6,10000,78,0.019999999999999962
7,6,10000,79,0.020000000000000018
7,6,10000,87,0.07
7,6,10000,88,0.03999999999999998
7,6,10000,92,0.01999999999999999
7,6,10000,93,0.019999999999999962
7,6,10000,94,0.03999999999999998
7,6,10000,95,0.03999999999999998
7,6,10000,100,0.020000000000000018
7,6,10000,103,0.020000000000000018
7,6,10000,105,0.030000000000000027
7,6,10000,111,0.03999999999999998
7,6,10000,112,0.019999999999999962
7,6,10000,114,0.02999999999999997
7,6,10000,116,0.020000000000000018
7,6,10000,123,0.020000000000000018
7,6,10000,124,0.019999999999999962
7,6,10000,126,0.010000000000000009
7,6,10000,127,0.02999999999999997
7,6,10000,133,0.06
7,6,10000,138,0.02999999999999997
7,6,10000,139,0.010000000000000009
7,6,10000,140,0.010000000000000009
7,6,10000,144,0.03999999999999998
7,6,10000,148,0.03999999999999998
7,6,10000,152,0.04999999999999999
7,6,10000,157,0.04000000000000001
7,6,10000,158,0.03999999999999998
7,6,10000,160,0.010000000000000009
7,6,10000,161,0.020000000000000018
