n_features,k,n_samples,sample_id,difference
7,6,10000,2,0.009999999999999995
7,6,10000,4,0.010000000000000009
7,6,10000,7,0.08
7,6,10000,8,0.03
7,6,10000,13,0.009999999999999981
7,6,10000,16,0.04999999999999999
7,6,10000,17,0.01999999999999999
7,6,10000,21,0.010000000000000009
7,6,10000,22,0.04000000000000001
7,6,10000,24,0.09999999999999998
7,6,10000,32,0.04999999999999999
7,6,10000,35,0.04999999999999999
7,6,10000,36,0.04000000000000001
7,6,10000,37,0.04000000000000001
7,6,10000,41,0.03
7,6,10000,43,0.07999999999999999
7,6,10000,44,0.010000000000000009
7,6,10000,47,0.06
7,6,10000,50,0.03
7,6,10000,51,0.06
7,6,10000,52,0.07999999999999999
7,6,10000,56,0.01999999999999999
7,6,10000,59,0.010000000000000009
7,6,10000,62,0.01999999999999999
7,6,10000,64,0.039999999999999994
7,6,10000,66,0.04000000000000001
7,6,10000,68,0.03
7,6,10000,72,0.04000000000000001
7,6,10000,77,0.07
7,6,10000,79,0.05
7,6,10000,81,0.020000000000000018
7,6,10000,83,0.020000000000000018
7,6,10000,87,0.03
7,6,10000,89,0.039999999999999994
7,6,10000,92,0.030000000000000027
7,6,10000,93,0.07
7,6,10000,94,0.04999999999999999
7,6,10000,102,0.05
7,6,10000,106,0.09999999999999999
7,6,10000,111,0.04999999999999999
7,6,10000,113,0.05000000000000002
7,6,10000,119,0.01999999999999999
7,6,10000,121,0.03
7,6,10000,123,0.020000000000000004
7,6,10000,126,0.09
7,6,10000,127,0.09
7,6,10000,133,0.1
7,6,10000,134,0.07999999999999999
7,6,10000,137,0.04999999999999999
7,6,10000,139,0.03999999999999998
7,6,10000,141,0.03
7,6,10000,146,0.03
7,6,10000,147,0.01999999999999999
7,6,10000,148,0.07000000000000003
7,6,10000,152,0.03
7,6,10000,158,0.06
7,6,10000,159,0.010000000000000009
7,6,10000,162,0.010000000000000009
7,6,10000,163,0.03999999999999998
7,6,10000,165,0.03999999999999998
7,6,10000,167,0.04999999999999999
7,6,10000,168,0.030000000000000027
7,6,10000,171,0.1
7,6,10000,172,0.01999999999999999
7,6,10000,173,0.01999999999999999
7,6,10000,177,0.03
7,6,10000,180,0.08
7,6,10000,183,0.1
7,6,10000,184,0.05000000000000002
7,6,10000,186,0.06
7,6,10000,187,0.12000000000000002
7,6,10000,190,0.09999999999999998
7,6,10000,191,0.01999999999999999
7,6,10000,192,0.01999999999999999
7,6,10000,193,0.03
7,6,10000,197,0.020000000000000018
7,6,10000,198,0.020000000000000004
7,6,10000,200,0.05000000000000002
7,6,10000,201,0.009999999999999995
7,6,10000,202,0.01999999999999999
7,6,10000,203,0.09
7,6,10000,204,0.04999999999999999
7,6,10000,205,0.020000000000000018
7,6,10000,208,0.06
7,6,10000,213,0.01999999999999999
7,6,10000,218,0.1
7,6,10000,228,0.030000000000000027
