trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=6,n_samples=1000,0.6634,H(Y)=1.8693,features=5000,trials=100,cg03748376|cg18536148|cg00840403|cg15642854|cg21139150|cg02464665,FULL_DATA_SINGLES_FEATURES
1,0.8251,0.8234,0.6634,0.0016999999999999238,False,False,cg09141965|cg09143801|cg05525106|cg09175843|cg00391044|cg05583608,cg03748376|cg17682828|cg27332337|cg24109116|cg04259358|cg27046034
3,0.8226,0.7999,0.6634,0.022699999999999942,False,False,cg15994085|cg15556502|cg09093931|cg24720688|cg01571722|cg23827488,cg15994085|cg15556502|cg20469799|cg02921434|cg18091046|cg22162281
5,0.7592,0.8494,0.6634,-0.09020000000000006,True,False,cg15994085|cg12436738|cg09252204|cg03486986|cg04441987|cg26272575,cg15994085|cg12436738|cg18229521|cg18418335|cg04755571|cg03440272
2,0.7818,0.8166,0.6634,-0.03479999999999994,True,False,cg14709691|cg20730770|cg17534540|cg25800500|cg03906572|cg08422420,cg18536148|cg11342821|cg09956615|cg11857093|cg23906459|cg14011486
8,0.7215,0.7786,0.6634,-0.05709999999999993,True,False,cg03408433|cg06946797|cg22134140|cg15994085|cg04819580|cg21139150,cg15994085|cg15642854|cg18533201|cg08360511|cg16748088|cg16656411
6,0.7411,0.7476,0.6634,-0.006500000000000061,True,False,cg05865340|cg16038120|cg06679694|cg24404630|cg17620251|cg21139150,cg18536148|cg11565911|cg09167632|cg13638420|cg24737783|cg02334987
4,0.7411,0.7862,0.6634,-0.04510000000000003,True,False,cg20730770|cg24404630|cg13930892|cg17468100|cg20693607|cg02626719,cg15994085|cg15642854|cg24112562|cg03237166|cg18156601|cg05988645
7,0.7287,0.8967,0.6634,-0.16800000000000004,True,False,cg24220279|cg22660483|cg23546474|cg21139150|cg21433231|cg00458505,cg25444386|cg26645401|cg07871947|cg24879782|cg21139150|cg05082311
9,0.8343,0.7765,0.6634,0.057800000000000074,False,False,cg26457809|cg02286091|cg06419476|cg10279487|cg23680821|cg08277548,cg14287235|cg12206199|cg14089267|cg01492330|cg06491249|cg12263679
12,0.7201,0.7527,0.6634,-0.03260000000000007,True,False,cg22488256|cg09141965|cg20272754|cg21139150|cg24800655|cg19200589,cg14287235|cg06733155|cg14496909|cg03347749|cg19596755|cg11772171
14,0.8212,0.7574,0.6634,0.06380000000000008,False,False,cg23358612|cg25324105|cg16955889|cg19070894|cg07164659|cg06779802,cg18536148|cg15967709|cg15642854|cg25156960|cg13638420|cg21139150
11,0.7088,0.8101,0.6634,-0.10130000000000006,True,False,cg15994085|cg15642854|cg17468100|cg11493661|cg24496423|cg16656411,cg15994085|cg15642854|cg16288089|cg06590173|cg16837441|cg14513804
13,0.7762,0.7449,0.6634,0.031299999999999994,False,False,cg23392845|cg15967709|cg27332337|cg20559217|cg17361163|cg01698298,cg24753662|cg23392845|cg27332337|cg16310077|cg03408433|cg00276799
10,0.6996,0.7327,0.6634,-0.03310000000000002,True,False,cg13483263|cg06164717|cg04101194|cg26972479|cg09173348|cg00609473,cg16043651|cg06164717|cg14011486|cg02271790|cg00269800|cg10742917
15,0.6488,0.7057,0.6634,-0.05689999999999995,True,True,cg02184697|cg15556502|cg13853894|cg21139150|cg18435532|cg05397812,cg03748376|cg21139150|cg13853894|cg02184697|cg14397289|cg04363703
16,0.6884,0.8122,0.6634,-0.12380000000000002,True,False,cg06733155|cg14287235|cg18435532|cg21139150|cg06488957|cg20767561,cg14287235|cg06733155|cg14448169|cg07799491|cg26823666|cg14453693
18,0.7448,0.7886,0.6634,-0.04379999999999995,True,False,cg26457809|cg02286091|cg03408433|cg12436738|cg01402735|cg06626599,cg16043651|cg16837441|cg01882566|cg03997663|cg05397812|cg27350602
21,0.7758,0.8127,0.6634,-0.03689999999999993,True,False,cg18601426|cg15967709|cg05865340|cg15642854|cg24737783|cg23352597,cg20730770|cg19962990|cg11823511|cg12685753|cg09175843|cg14482569
19,0.8262,0.7775,0.6634,0.04870000000000008,False,False,cg23392845|cg15967709|cg16837441|cg07515422|cg14463432|cg26195683,cg25444386|cg16837441|cg20469799|cg12604162|cg27221477|cg16019898
17,0.7273,0.8013,0.6634,-0.07400000000000007,True,False,cg24753662|cg27388680|cg06419476|cg19944876|cg18031773|cg27569446,cg24753662|cg27388680|cg00476243|cg06109482|cg06419750|cg24383507
22,0.7653,0.7743,0.6634,-0.009000000000000008,True,False,cg18229521|cg12436738|cg02718825|cg18536148|cg23983517|cg16431713,cg18536148|cg15642854|cg03762081|cg08599448|cg11827998|cg14944269
20,0.7191,0.8693,0.6634,-0.1502,True,False,cg16837441|cg16043651|cg04913979|cg16396284|cg14302224|cg24720688,cg15994085|cg09827761|cg24404630|cg17922359|cg01566965|cg06722282
24,0.7772,0.8153,0.6634,-0.03810000000000002,True,False,cg18229521|cg12436738|cg04919581|cg22189386|cg03408433|cg26301353,cg02184697|cg05057720|cg19756358|cg00853940|cg08389577|cg23036947
23,0.7092,0.7958,0.6634,-0.0865999999999999,True,False,cg14709691|cg20730770|cg16462183|cg11493661|cg08756033|cg00674679,cg20730770|cg14709691|cg00637688|cg02363934|cg17449954|cg23133011
25,0.7388,0.8362,0.6634,-0.09740000000000004,True,False,cg03408433|cg06946797|cg23540704|cg08783090|cg12984729|cg26404172,cg25444386|cg17314888|cg27353899|cg20011983|cg20191338|cg19966212
