trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=8,n_samples=1000,0.132,H(Y)=1.8693,features=5000,trials=100,cg03748376|cg18536148|cg00840403|cg15642854|cg21139150|cg02464665|cg12074916|cg09697403,FULL_DATA_SINGLES_FEATURES
3,0.3332,0.2091,0.132,0.12409999999999999,False,False,cg01142635|cg25527090|cg03359540|cg02286091|cg16019898|cg18245160|cg18811731|cg26340389,cg15994085|cg16019898|cg08360511|cg13053505|cg24777351|cg08726248|cg11727174|cg19470841
1,0.2437,0.2261,0.132,0.017600000000000005,False,False,cg19070894|cg17314888|cg03765898|cg05169846|cg12377327|cg09167632|cg17416730|cg02726930,cg25444386|cg12436738|cg02286091|cg20377955|cg23681339|cg24053165|cg04371001|cg00476243
2,0.2716,0.2618,0.132,0.009800000000000031,False,False,cg09141965|cg25547580|cg21579274|cg02462195|cg05339727|cg21335378|cg10864145|cg08364137,cg14287235|cg14482569|cg02854536|cg27146152|cg26823666|cg25313930|cg06109482|cg02462195
7,0.2345,0.2127,0.132,0.021799999999999986,False,False,cg12436738|cg02286091|cg03359540|cg01142635|cg13681081|cg17123338|cg13081620|cg14349977,cg09827761|cg08216808|cg09442654|cg25524053|cg26454150|cg17144547|cg20290983|cg08479476
4,0.268,0.201,0.132,0.067,False,False,cg23358612|cg25324105|cg12436738|cg11931731|cg01828474|cg11827998|cg01285706|cg27112414,cg02184697|cg15556502|cg21139150|cg02482460|cg17410650|cg06105694|cg04412186|cg04101194
6,0.2757,0.234,0.132,0.04169999999999999,False,False,cg08607018|cg03748376|cg21663666|cg25527090|cg01323954|cg14154082|cg14893161|cg23037132,cg03748376|cg08607018|cg14615440|cg24995678|cg13612595|cg09167632|cg05521982|cg10154826
8,0.1948,0.2271,0.132,-0.032299999999999995,True,False,cg20730770|cg24404630|cg13483263|cg14565781|cg26748794|cg22212414|cg20152309|cg00318756,cg20730770|cg24404630|cg13483263|cg14565781|cg05351887|cg07167423|cg03251655|cg20290983
5,0.2166,0.2156,0.132,0.0009999999999999731,False,False,cg19070894|cg17314888|cg16837441|cg24404630|cg13623495|cg16748088|cg02462195|cg02333283,cg18724200|cg06164717|cg17770096|cg13483263|cg17611045|cg26715559|cg11638298|cg17242351
10,0.2827,0.2066,0.132,0.0761,False,False,cg26457809|cg02286091|cg15642854|cg11342821|cg11827998|cg00794400|cg21648260|cg18187244,cg24753662|cg26418434|cg11827998|cg17230773|cg16298481|cg21013756|cg09652086|cg03705894
14,0.2914,0.1695,0.132,0.12189999999999998,False,False,cg18229521|cg12436738|cg02573703|cg12700788|cg00849191|cg10930308|cg23628478|cg04447621,cg21139150|cg14417784|cg11827998|cg07501233|cg09784335|cg23978657|cg09495977|cg08368617
