trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=6,n_samples=1000,0.4022,H(Y)=0.9978,features=5000,trials=100,cg24685006|cg26457809|cg09941363|cg12768605|cg17511968|cg04131969,FULL_DATA_SINGLES_FEATURES
3,0.4128,0.3888,0.4022,0.02400000000000002,False,False,cg09053680|cg20469799|cg19755171|cg01154966|cg12479878|cg02773945,cg11878331|cg18435532|cg23015219|cg03998719|cg16751357|cg06238316
6,0.3778,0.3567,0.4022,0.021100000000000008,False,True,cg09053680|cg20469799|cg22211672|cg26457809|cg11992241|cg27380997,cg18536148|cg09408917|cg06629130|cg07425555|cg03101021|cg03523740
2,0.3946,0.3681,0.4022,0.026500000000000024,False,True,cg07955995|cg24221648|cg00716245|cg05169846|cg11739633|cg14154082,cg18536148|cg14154082|cg00601042|cg04833713|cg08004525|cg27076487
4,0.4192,0.3782,0.4022,0.041000000000000036,False,False,cg21912938|cg19605788|cg13053505|cg12604162|cg13759905|cg24578857,cg11772171|cg05048377|cg24324985|cg04675542|cg26365553|cg05879734
7,0.3975,0.4692,0.4022,-0.07169999999999999,True,True,cg26457809|cg10129408|cg16920551|cg21139150|cg09761367|cg01542019,cg25444386|cg26645401|cg07871947|cg00735667|cg06661994|cg21433231
1,0.3916,0.3726,0.4022,0.019000000000000017,False,True,cg03748376|cg24685006|cg23283335|cg15627710|cg06419476|cg01828474,cg24685006|cg03748376|cg05082311|cg24055029|cg24229589|cg01309870
5,0.3613,0.3911,0.4022,-0.029799999999999993,True,True,cg18435532|cg03981954|cg11092416|cg12003064|cg11474317|cg04415270,cg00459623|cg14633398|cg17173767|cg04522671|cg04441987|cg00297876
8,0.3493,0.3658,0.4022,-0.016500000000000015,True,True,cg03408433|cg06946797|cg20090283|cg06201680|cg26059639|cg24720688,cg24685006|cg11992241|cg04575395|cg13275609|cg27636330|cg11270237
9,0.3446,0.4189,0.4022,-0.07429999999999998,True,True,cg27332337|cg09376008|cg00459623|cg07135032|cg12542656|cg06042004,cg25742246|cg09861917|cg22285878|cg00590324|cg18435532|cg25933726
12,0.4005,0.4399,0.4022,-0.03939999999999999,True,True,cg26457809|cg20469799|cg01142635|cg19755171|cg16355945|cg01799681,cg22861561|cg20469799|cg04768697|cg00134645|cg26391277|cg18091046
11,0.3243,0.3416,0.4022,-0.017300000000000038,True,True,cg06028605|cg04549333|cg25109721|cg18435532|cg20272754|cg06692929,cg18582992|cg06028605|cg04549333|cg06105694|cg06692929|cg09784335
14,0.395,0.388,0.4022,0.007000000000000006,False,True,cg22488256|cg09141965|cg15579587|cg06268921|cg02461114|cg20290983,cg25742246|cg25168494|cg24324815|cg14010805|cg15308487|cg21139150
10,0.3017,0.4122,0.4022,-0.11049999999999999,True,True,cg06028605|cg04549333|cg23371746|cg14409810|cg20219360|cg00794400,cg13483263|cg06164717|cg14455925|cg26562691|cg23358612|cg26391277
13,0.3653,0.3485,0.4022,0.016800000000000037,False,True,cg27332337|cg09376008|cg19456953|cg21697381|cg23698978|cg01359962,cg13483263|cg05169846|cg19469447|cg00325968|cg15971010|cg25272655
15,0.3397,0.3984,0.4022,-0.058699999999999974,True,True,cg25444386|cg24685006|cg19413417|cg05414241|cg13672871|cg18202521,cg24685006|cg25444386|cg14803765|cg09612786|cg10590925|cg11199810
16,0.3697,0.4336,0.4022,-0.06390000000000001,True,True,cg23616527|cg08607018|cg26357885|cg03607359|cg22728385|cg21139150,cg25742246|cg03205103|cg00459623|cg14154082|cg01971137|cg13758543
20,0.4647,0.4016,0.4022,0.06309999999999999,False,False,cg22488256|cg15235798|cg14822490|cg25399309|cg05585303|cg24720688,cg24685006|cg20445035|cg27139956|cg15401952|cg10414985|cg07891531
18,0.3939,0.3487,0.4022,0.04519999999999996,False,True,cg26457809|cg10129408|cg14182621|cg21139150|cg23746347|cg13923371,cg03408433|cg12206199|cg01882566|cg23709902|cg06419732|cg07806343
17,0.351,0.3946,0.4022,-0.04360000000000003,True,True,cg01336912|cg25547580|cg25800500|cg13817545|cg00134645|cg00459623,cg00459623|cg14154082|cg24777351|cg22344830|cg03001484|cg20737382
19,0.3326,0.3804,0.4022,-0.04780000000000001,True,True,cg15967709|cg07515422|cg25444386|cg20469799|cg27350602|cg01817521,cg25444386|cg20469799|cg23409774|cg27221477|cg21420674|cg22863920
22,0.4134,0.3862,0.4022,0.027200000000000002,False,False,cg07955995|cg13944175|cg09408917|cg01882566|cg07898446|cg00377915,cg00459623|cg09408917|cg00886954|cg20040488|cg16082644|cg18229521
21,0.3824,0.4415,0.4022,-0.059099999999999986,True,True,cg18601426|cg15967709|cg19796532|cg27119456|cg04675542|cg17508302,cg20756891|cg11772171|cg23940612|cg19815376|cg18660898|cg11072201
23,0.3495,0.3753,0.4022,-0.025800000000000045,True,True,cg03408433|cg06417752|cg23713724|cg04111789|cg12974660|cg23279021,cg03408433|cg06417752|cg23906459|cg12224030|cg08837037|cg12814550
24,0.354,0.4157,0.4022,-0.06170000000000003,True,True,cg03408433|cg06629130|cg09173348|cg06604589|cg01336912|cg07161827,cg00459623|cg13483263|cg24995678|cg16288089|cg03612522|cg03765898
25,0.3493,0.3652,0.4022,-0.015900000000000025,True,True,cg03408433|cg06946797|cg25444386|cg04111789|cg05434903|cg02217814,cg00459623|cg14154082|cg14633398|cg15909981|cg20708842|cg24529736
26,0.3382,0.3984,0.4022,-0.060199999999999976,True,True,cg26457809|cg24685006|cg11992241|cg27380997|cg15537254|cg00716245,cg24685006|cg26457809|cg16671069|cg04749549|cg21186299|cg19998150
27,0.4245,0.4131,0.4022,0.011399999999999966,False,False,cg22488256|cg15235798|cg00643897|cg09652086|cg09252204|cg17462074,cg25742246|cg24324985|cg15928398|cg17906339|cg06820621|cg19192590
28,0.3798,0.4223,0.4022,-0.04249999999999998,True,True,cg18229521|cg04675542|cg12768605|cg00377915|cg11488893|cg21420674,cg25742246|cg24324985|cg04307107|cg05886367|cg00960700|cg21902627
31,0.4688,0.4145,0.4022,0.054300000000000015,False,False,cg17335199|cg23409774|cg18235050|cg03340649|cg06419476|cg22708150,cg25742246|cg03649288|cg00674679|cg24508426|cg11772171|cg09353705
30,0.3566,0.4093,0.4022,-0.052700000000000025,True,True,cg11301556|cg25444386|cg01069311|cg09175843|cg17416730|cg02174634,cg25444386|cg11301556|cg09175843|cg01069311|cg01863510|cg01550307
29,0.3469,0.3618,0.4022,-0.014900000000000024,True,True,cg18435532|cg09550810|cg21989299|cg09554951|cg13681081|cg03667317,cg24685006|cg13483263|cg22232327|cg12160664|cg03205103|cg04960964
32,0.3419,0.365,0.4022,-0.02310000000000001,True,True,cg27332337|cg09376008|cg08373003|cg23928165|cg23709902|cg22747076,cg13483263|cg23188704|cg20469799|cg26480524|cg05233899|cg25049733
33,0.387,0.3944,0.4022,-0.007399999999999962,True,True,cg18177414|cg01492330|cg13305951|cg20898829|cg24404630|cg10315562,cg25742246|cg24324985|cg00377915|cg22728385|cg10543450|cg27220934
36,0.4197,0.3755,0.4022,0.04420000000000002,False,False,cg03408433|cg06629130|cg23358612|cg12663811|cg14202048|cg27508378,cg25742246|cg03748376|cg03408433|cg01077846|cg19564367|cg10717149
35,0.3786,0.3688,0.4022,0.009799999999999975,False,True,cg18177414|cg11823511|cg16529599|cg09175843|cg08013331|cg11789492,cg00459623|cg13483263|cg09015973|cg05534427|cg06159404|cg27361914
34,0.3204,0.3946,0.4022,-0.07419999999999999,True,True,cg15967709|cg07515422|cg19470841|cg19944876|cg18905161|cg19908556,cg13483263|cg05169846|cg09175843|cg22737624|cg19792599|cg19485103
37,0.407,0.3825,0.4022,0.024499999999999966,False,False,cg26457809|cg24685006|cg01154966|cg23759393|cg27380997|cg11749010,cg24685006|cg26457809|cg00925616|cg06197616|cg00377915|cg00241907
38,0.3766,0.3446,0.4022,0.03199999999999997,False,True,cg12768605|cg07028914|cg00435173|cg20559217|cg19815376|cg02291897,cg24720688|cg06159404|cg03803861|cg12145394|cg22706505|cg00374088
39,0.3115,0.3754,0.4022,-0.06390000000000001,True,True,cg15967709|cg07515422|cg19470841|cg20469799|cg08084860|cg18418335,cg24685006|cg26457809|cg12768605|cg15907464|cg19470841|cg08084860
40,0.3533,0.3782,0.4022,-0.024899999999999978,True,True,cg25109721|cg18435532|cg04131969|cg24313303|cg18536148|cg08039116,cg25742246|cg03748376|cg24055029|cg00716245|cg15401952|cg25303761
41,0.3626,0.3437,0.4022,0.018899999999999972,False,True,cg23188704|cg20469799|cg18601426|cg25547580|cg08730348|cg21139150,cg22320365|cg20469799|cg18229521|cg16529599|cg12257233|cg06028605
42,0.351,0.3964,0.4022,-0.045399999999999996,True,True,cg03408433|cg25649641|cg15971010|cg17737681|cg24523000|cg11337025,cg25742246|cg24523000|cg06626599|cg01556075|cg05233899|cg26480524
43,0.4119,0.4176,0.4022,-0.005700000000000038,True,False,cg26472133|cg18177414|cg13483263|cg27353899|cg00643897|cg18418335,cg13483263|cg05169846|cg18247055|cg18418335|cg15545772|cg27353899
45,0.3445,0.4476,0.4022,-0.10310000000000002,True,True,cg27332337|cg09376008|cg08373003|cg23928165|cg03835983|cg18435532,cg24685006|cg26457809|cg27304020|cg27332337|cg04833713|cg05170706
44,0.3449,0.4121,0.4022,-0.06720000000000004,True,True,cg27332337|cg09376008|cg03408433|cg03406535|cg13866527|cg26584528,cg13483263|cg03205103|cg02271790|cg11342821|cg21819468|cg27136344
46,0.3547,0.3939,0.4022,-0.03919999999999996,True,True,cg03408433|cg25649641|cg17737681|cg10509187|cg08944170|cg13742526,cg24685006|cg14029686|cg03205103|cg04061117|cg24852548|cg16865953
47,0.3787,0.4099,0.4022,-0.031200000000000006,True,True,cg11301556|cg25444386|cg03486986|cg02184673|cg22344830|cg19944876,cg25444386|cg11301556|cg20469799|cg00970313|cg13305951|cg13681081
48,0.3931,0.4445,0.4022,-0.0514,True,True,cg25444386|cg20469799|cg27353899|cg24127748|cg13353942|cg19966212,cg25742246|cg13483263|cg14455925|cg22510376|cg09652086|cg19469447
49,0.4312,0.4051,0.4022,0.026100000000000012,False,False,cg26472133|cg18177414|cg19727801|cg15822765|cg17795059|cg23827488,cg24685006|cg13483263|cg18235050|cg27583853|cg18435532|cg05957749
51,0.4314,0.397,0.4022,0.034399999999999986,False,False,cg18235050|cg20469799|cg16573782|cg05196026|cg22189386|cg01542019,cg22861561|cg20469799|cg22557662|cg24324985|cg22737624|cg23436960
50,0.3644,0.3764,0.4022,-0.01200000000000001,True,True,cg19438887|cg18383538|cg06197616|cg15967709|cg11929896|cg17547524,cg11772171|cg05048377|cg24978383|cg11929896|cg14507337|cg02888113
54,0.3854,0.4261,0.4022,-0.04069999999999996,True,True,cg07515422|cg21697851|cg09252204|cg17530247|cg01610488|cg03408433,cg25742246|cg24324985|cg20503956|cg06419750|cg23827488|cg27404676
52,0.3809,0.3901,0.4022,-0.009199999999999986,True,True,cg18229521|cg04675542|cg19843891|cg24313303|cg03408433|cg13672871,cg03408433|cg12593746|cg24691854|cg03043696|cg13672871|cg11305121
53,0.3576,0.4214,0.4022,-0.06380000000000002,True,True,cg25109721|cg18435532|cg01066472|cg15215612|cg06028605|cg13672871,cg25742246|cg18435532|cg25109721|cg25445853|cg04597433|cg14993900
